job_title,Company_name,location,post,salary,level,experience,skills
"Middle/Senior Fullstack Developer (React JS, PHP, Laravel)",CÔNG TY CỔ PHẦN PHẦN MỀM VITEX VIỆT NAM,"Quận Cầu Giấy, Hà Nội",,,"Middle, Senior",,"PHP,Laravel,React JS"
HCM-Senior Fullstack Developer (NodeJS + ReactJS/VueJS)_TS041602-SrFullstackJS,Talent Success, Hồ Chí Minh,,,"Middle, Senior",,"NodeJS,ReactJS,VueJS"
"Middle Full-Stack Developer (PHP, JavaScript, CSS, HTML)",Atech,"Quận 3, Hồ Chí Minh",,,Middle,,"PHP,JavaScript,HTML & CSS"
Senior PHP Developer,Công ty TNHH P.A Việt Nam,"Quận 7, Hồ Chí Minh",,,Senior,,"PHP,Full-Stack,Web Application"
Senior Fullstack NodeJS/ReactJS (Backend heavy),Gigarion Technology,"Quận Tân Bình, Hồ Chí Minh",,,Senior,,"NodeJS,Full-Stack,ReactJS"
Full-stack Developer,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ JU YOU,"Quận Bình Thạnh, Hồ Chí Minh",,,Senior,,"Java,Full-Stack,VueJS"
Data Engineer (DBA),LG CNS Việt Nam,"Quận Nam Từ Liêm, Hà Nội",,,"Junior, Middle, Senior",,"Oracle,SQL,Database,Data Engineer,Database Administrator"
[DI6] Senior Tester (Automation/Manual) – MSB - 1Y561,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,Senior,,"Tester,Database,Automation Tester,Manual Test,Mobile Tester"
MIDDLE .NET DEVELOPER,INFOPLUS,"Quận Nam Từ Liêm, Hà Nội",,,Middle,,"C#,.NET,ERP,SQL Server,Database"
SOC Analyst (Tier 3) - CS01,FPT IS,"Quận Nam Từ Liêm, Hà Nội",,,Senior,,"Database,Data Analyst"
Senior System Engineer,CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,"Quận Cầu Giấy, Hà Nội",,,"Middle, Senior",,"Linux,Database Administrator,Windows"
,,,,,,,
PostgreSql Database Architect / Administrator,"Motorola Solutions, VietNam R&D Center","Thành phố Thủ Đức, Hồ Chí Minh",,,Middle,,"Database,Database Administrator,PostgreSql"
Quản trị cơ sở dữ liệu (DBA),Công ty Dịch vụ Số Bưu điện (Vietnam Post Digital),"Quận Nam Từ Liêm, Hà Nội",,,"Middle, Senior",,"Oracle,SQL,MariaDB"
Business Analyst,Public Bank Vietnam (PBVN),"Quận Hoàn Kiếm, Hà Nội",,,"Middle, Senior",,"Business Analyst,Oracle Database,Oracle SQL"
